I,ID,STATUS,AREA,ZONE,PL,QL,IP,IQ,YP,YQ,OWNER,SCALE
142535,1 ,1,36,63,1.623,-1.0,0.0,0.0,0.0,0.0,1,1
142573,1 ,1,32,40,13.762,0.0,0.0,0.0,0.0,0.0,1,1
142574,1 ,1,18,21,1.0,-0.4,0.0,0.0,0.0,0.0,1,1
142636,1 ,1,13,16,15.0,-5.0,0.0,0.0,0.0,0.0,1,1
142713,1 ,1,39,62,8.4,0.6,0.0,0.0,0.0,0.0,1,1
142751,1 ,1,36,63,1.0,0.2,0.0,0.0,0.0,0.0,1,1
142792,1 ,1,35,42,20.0,2.85,0.0,0.0,0.0,0.0,1,1
142826,1 ,1,16,31,4.662,0.929,0.0,0.0,0.0,0.0,1,1
142830,1 ,1,31,46,6.401999999999999,-6.165,0.0,0.0,0.0,0.0,1,1
142835,1 ,1,18,21,4.6,-1.3,0.0,0.0,0.0,0.0,1,1
142935,1 ,1,36,63,6.323,0.06899999999999995,0.0,0.0,0.0,0.0,1,1
142989,1 ,1,31,46,6.174,1.816,0.0,0.0,0.0,0.0,1,1
143118,1 ,1,41,69,1.0,1.0,0.0,0.0,0.0,0.0,1,1
143234,1 ,1,32,40,21.9,1.933,0.0,0.0,0.0,0.0,1,1
143244,1 ,1,31,46,1.013,0.113,0.0,0.0,0.0,0.0,1,1
143270,1 ,1,16,31,1.0,-0.164,0.0,0.0,0.0,0.0,1,1
143340,1 ,1,36,63,2.297,0.438,0.0,0.0,0.0,0.0,1,1
143342,1 ,1,31,46,2.0,-1.584,0.0,0.0,0.0,0.0,1,1
143424,1 ,1,19,32,6.672,-2.479,0.0,0.0,0.0,0.0,1,1
143431,1 ,1,27,33,32.4,24.48,0.0,0.0,0.0,0.0,1,1
143530,1 ,1,39,62,30.0,2.0,0.0,0.0,0.0,0.0,1,1
143536,1 ,1,18,21,1.0,1.0,0.0,0.0,0.0,0.0,1,1
143541,1 ,1,39,62,9.78,3.81,0.0,0.0,0.0,0.0,1,1
143601,1 ,1,18,21,11.4,0.6999999999999998,0.0,0.0,0.0,0.0,1,1
143671,1 ,1,36,63,4.6,2.0,0.0,0.0,0.0,0.0,1,1
143843,1 ,1,39,62,15.96,7.0,0.0,0.0,0.0,0.0,1,1
143857,1 ,1,12,15,9.8,-0.6000000000000001,0.0,0.0,0.0,0.0,1,1
143883,1 ,1,32,40,13.939,-0.682,0.0,0.0,0.0,0.0,1,1
143930,1 ,1,36,63,30.384000000000004,-1.19,0.0,0.0,0.0,0.0,1,1
143944,1 ,1,1,2,11.913,0.0,0.0,0.0,0.0,0.0,1,1
143958,1 ,1,31,50,12.608,-0.026,0.0,0.0,0.0,0.0,1,1
143986,1 ,1,19,32,4.813,-1.972,0.0,0.0,0.0,0.0,1,1
144072,1 ,1,11,14,0.422,0.148,0.0,0.0,0.0,0.0,1,1
144083,1 ,1,40,68,17.89,0.7,0.0,0.0,0.0,0.0,1,1
144212,1 ,1,39,62,4.599,-1.013,0.0,0.0,0.0,0.0,1,1
144285,1 ,1,40,68,7.5,1.5,0.0,0.0,0.0,0.0,1,1
144316,1 ,1,9,10,1.0,1.0,0.0,0.0,0.0,0.0,1,1
144358,1 ,1,36,79,16.636,6.989,0.0,0.0,0.0,0.0,1,1
144369,1 ,1,31,56,12.7,-3.84,0.0,0.0,0.0,0.0,1,1
144409,1 ,1,42,70,-5.805,-0.455,0.0,0.0,0.0,0.0,1,1
144421,1 ,1,35,42,13.2,4.0,0.0,0.0,0.0,0.0,1,1
144434,1 ,1,14,19,6.5,2.4,0.0,0.0,0.0,0.0,1,1
144520,1 ,1,36,79,1.792,0.87,0.0,0.0,0.0,0.0,1,1
144541,1 ,1,42,70,3.341,-0.003,0.0,0.0,0.0,0.0,1,1
144551,1 ,1,39,62,10.22,3.59,0.0,0.0,0.0,0.0,1,1
144561,1 ,1,32,40,16.1,-1.129,0.0,0.0,0.0,0.0,1,1
144565,1 ,1,18,21,6.3999999999999995,-1.2,0.0,0.0,0.0,0.0,1,1
144687,1 ,1,11,14,1.955,0.457,0.0,0.0,0.0,0.0,1,1
144689,1 ,1,32,40,22.85,-3.157,0.0,0.0,0.0,0.0,1,1
144706,1 ,1,31,46,36.152,13.404,0.0,0.0,0.0,0.0,1,1
144733,1 ,1,14,19,0.6,0.7999999999999999,0.0,0.0,0.0,0.0,1,1
144781,1 ,1,49,88,0.4,0.0,0.0,0.0,0.0,0.0,1,1
144822,1 ,1,35,42,40.0,5.7,0.0,0.0,0.0,0.0,1,1
144930,1 ,1,35,42,40.0,5.7,0.0,0.0,0.0,0.0,1,1
144959,1 ,1,16,31,0.403,0.198,0.0,0.0,0.0,0.0,1,1
144974,1 ,1,35,42,30.0,4.275,0.0,0.0,0.0,0.0,1,1
144984,1 ,1,36,79,1.68,-1.0,0.0,0.0,0.0,0.0,1,1
145051,1 ,1,19,32,2.0,0.0,0.0,0.0,0.0,0.0,1,1
145125,1 ,1,19,32,5.416,-1.666,0.0,0.0,0.0,0.0,1,1
145201,1 ,1,33,41,9.97,2.95,0.0,0.0,0.0,0.0,1,1
145293,1 ,1,18,21,1.7000000000000002,-0.4,0.0,0.0,0.0,0.0,1,1
145301,1 ,1,36,79,1.1,0.2,0.0,0.0,0.0,0.0,1,1
145411,1 ,1,18,21,6.1,3.3999999999999995,0.0,0.0,0.0,0.0,1,1
145498,1 ,1,27,33,9.4,10.0,0.0,0.0,0.0,0.0,1,1
145621,1 ,1,31,46,8.838,3.146,0.0,0.0,0.0,0.0,1,1
145673,1 ,1,11,14,4.045,0.415,0.0,0.0,0.0,0.0,1,1
145680,1 ,1,40,68,4.0,2.0,0.0,0.0,0.0,0.0,1,1
145766,1 ,1,36,63,1.0,0.2,0.0,0.0,0.0,0.0,1,1
145769,1 ,1,19,32,3.9,0.8,0.0,0.0,0.0,0.0,1,1
145791,1 ,1,19,32,2.6,-0.422,0.0,0.0,0.0,0.0,1,1
145801,1 ,1,42,70,2.5599999999999996,-3.725,0.0,0.0,0.0,0.0,1,1
145828,1 ,1,35,42,10.0,1.425,0.0,0.0,0.0,0.0,1,1
145852,1 ,1,19,32,3.7,-1.4,0.0,0.0,0.0,0.0,1,1
145885,1 ,1,27,33,0.97,0.44,0.0,0.0,0.0,0.0,1,1
145961,1 ,1,16,31,47.838,-0.688,0.0,0.0,0.0,0.0,1,1
146014,1 ,1,18,21,6.0,-5.0,0.0,0.0,0.0,0.0,1,1
146068,1 ,1,16,31,12.3,2.0,0.0,0.0,0.0,0.0,1,1
146090,1 ,1,14,19,8.8,0.7,0.0,0.0,0.0,0.0,1,1
146154,1 ,1,18,21,8.8,1.2,0.0,0.0,0.0,0.0,1,1
146250,1 ,1,32,40,16.23,0.542,0.0,0.0,0.0,0.0,1,1
146256,1 ,1,32,40,8.287,1.0,0.0,0.0,0.0,0.0,1,1
146259,1 ,1,40,68,29.38,1.7,0.0,0.0,0.0,0.0,1,1
146289,1 ,1,31,46,12.25,4.026,0.0,0.0,0.0,0.0,1,1
146297,1 ,1,15,20,9.94,1.138,0.0,0.0,0.0,0.0,1,1
146313,1 ,1,41,69,1.322,-1.0,0.0,0.0,0.0,0.0,1,1
146375,1 ,1,32,40,8.9,1.35,0.0,0.0,0.0,0.0,1,1
146382,1 ,1,18,21,9.399999999999999,2.4,0.0,0.0,0.0,0.0,1,1
146390,1 ,1,19,32,1.35,-0.5,0.0,0.0,0.0,0.0,1,1
146397,1 ,1,31,46,0.2,0.2,0.0,0.0,0.0,0.0,1,1
146568,1 ,1,18,21,1.0,-1.7999999999999998,0.0,0.0,0.0,0.0,1,1
146579,1 ,1,18,21,-0.1,-0.3,0.0,0.0,0.0,0.0,1,1
146603,1 ,1,36,79,3.482,1.899,0.0,0.0,0.0,0.0,1,1
146617,1 ,1,19,32,6.417,-1.276,0.0,0.0,0.0,0.0,1,1
146701,1 ,1,11,14,0.634,0.37,0.0,0.0,0.0,0.0,1,1
146712,1 ,1,18,21,2.2,-1.5,0.0,0.0,0.0,0.0,1,1
146736,1 ,1,16,31,1.078,0.27,0.0,0.0,0.0,0.0,1,1
146785,1 ,1,40,68,21.738,2.04,0.0,0.0,0.0,0.0,1,1
146797,1 ,1,31,46,2.8,0.92,0.0,0.0,0.0,0.0,1,1
146808,1 ,1,13,18,20.0,5.0,0.0,0.0,0.0,0.0,1,1
147009,1 ,1,19,32,11.47,-3.551,0.0,0.0,0.0,0.0,1,1
147098,1 ,1,18,21,0.8,-0.4,0.0,0.0,0.0,0.0,1,1
147116,1 ,1,18,21,5.800000000000001,1.2999999999999998,0.0,0.0,0.0,0.0,1,1
147151,1 ,1,15,20,2.496,0.82,0.0,0.0,0.0,0.0,1,1
147208,1 ,1,31,46,37.591,4.486,0.0,0.0,0.0,0.0,1,1
147215,1 ,1,31,50,6.26,-1.148,0.0,0.0,0.0,0.0,1,1
147240,1 ,1,40,68,10.33,2.0,0.0,0.0,0.0,0.0,1,1
147300,1 ,1,19,32,8.801,-2.668,0.0,0.0,0.0,0.0,1,1
147385,1 ,1,18,21,5.8,0.09999999999999987,0.0,0.0,0.0,0.0,1,1
147399,1 ,1,41,69,23.86,-17.0,0.0,0.0,0.0,0.0,1,1
147430,1 ,1,19,32,4.663,-0.802,0.0,0.0,0.0,0.0,1,1
147634,1 ,1,19,32,1.0,0.5,0.0,0.0,0.0,0.0,1,1
147642,1 ,1,18,21,3.8000000000000003,-5.0,0.0,0.0,0.0,0.0,1,1
147680,1 ,1,36,79,1.0,0.2,0.0,0.0,0.0,0.0,1,1
147734,1 ,1,36,79,5.006,0.30000000000000004,0.0,0.0,0.0,0.0,1,1
147772,1 ,1,14,19,8.7,1.8000000000000003,0.0,0.0,0.0,0.0,1,1
147786,1 ,1,19,32,8.486,-1.993,0.0,0.0,0.0,0.0,1,1
147861,1 ,1,42,70,10.668000000000001,0.08200000000000003,0.0,0.0,0.0,0.0,1,1
147893,1 ,1,49,88,87.0,-0.5,0.0,0.0,0.0,0.0,1,1
147895,1 ,1,18,21,0.5,-15.5,0.0,0.0,0.0,0.0,1,1
147915,1 ,1,35,42,8.4,4.0,0.0,0.0,0.0,0.0,1,1
147924,1 ,1,40,67,9.0,4.9,0.0,0.0,0.0,0.0,1,1
147928,1 ,1,17,26,2.854,0.093,0.0,0.0,0.0,0.0,1,1
148008,1 ,1,15,20,12.821,3.9059999999999997,0.0,0.0,0.0,0.0,1,1
148010,1 ,1,18,21,1.8,-0.09999999999999998,0.0,0.0,0.0,0.0,1,1
148067,1 ,1,16,31,16.405,0.001,0.0,0.0,0.0,0.0,1,1
148108,1 ,1,11,14,5.93,0.24,0.0,0.0,0.0,0.0,1,1
148124,1 ,1,42,70,2.2,-5.544,0.0,0.0,0.0,0.0,1,1
148186,1 ,1,32,40,25.448,-4.444,0.0,0.0,0.0,0.0,1,1
148381,1 ,1,31,46,8.018,2.968,0.0,0.0,0.0,0.0,1,1
148443,1 ,1,19,32,6.252,-1.751,0.0,0.0,0.0,0.0,1,1
148494,1 ,1,31,46,1.162,0.382,0.0,0.0,0.0,0.0,1,1
148495,1 ,1,42,70,14.570999999999998,-5.403,0.0,0.0,0.0,0.0,1,1
148578,1 ,1,31,46,2.179,0.709,0.0,0.0,0.0,0.0,1,1
148587,1 ,1,36,63,31.028,-7.087,0.0,0.0,0.0,0.0,1,1
148602,1 ,1,35,42,22.1,6.0,0.0,0.0,0.0,0.0,1,1
148612,1 ,1,19,32,6.747,-1.547,0.0,0.0,0.0,0.0,1,1
148627,1 ,1,40,68,10.96,2.0,0.0,0.0,0.0,0.0,1,1
148792,1 ,1,40,68,6.8,3.7,0.0,0.0,0.0,0.0,1,1
148869,1 ,1,14,19,14.0,3.0,0.0,0.0,0.0,0.0,1,1
148885,1 ,1,11,14,4.534,0.562,0.0,0.0,0.0,0.0,1,1
148919,1 ,1,32,40,15.161,-2.603,0.0,0.0,0.0,0.0,1,1
149031,1 ,1,49,88,67.0,-3.0,0.0,0.0,0.0,0.0,1,1
149075,1 ,1,36,79,5.753,-2.0,0.0,0.0,0.0,0.0,1,1
149159,1 ,1,42,70,1.0,0.05,0.0,0.0,0.0,0.0,1,1
149171,1 ,1,19,32,10.35,-2.827,0.0,0.0,0.0,0.0,1,1
149190,1 ,1,19,32,10.0,-2.092,0.0,0.0,0.0,0.0,1,1
149192,1 ,1,13,16,15.0,-5.0,0.0,0.0,0.0,0.0,1,1
149250,1 ,1,49,88,68.0,-9.0,0.0,0.0,0.0,0.0,1,1
149260,1 ,1,18,21,10.4,4.1,0.0,0.0,0.0,0.0,1,1
149261,1 ,1,15,20,5.42,1.64,0.0,0.0,0.0,0.0,1,1
149326,1 ,1,19,32,5.263,-1.424,0.0,0.0,0.0,0.0,1,1
149344,1 ,1,11,14,0.244,0.01,0.0,0.0,0.0,0.0,1,1
149375,1 ,1,15,20,5.6,1.07,0.0,0.0,0.0,0.0,1,1
149379,1 ,1,18,21,3.9,-1.0,0.0,0.0,0.0,0.0,1,1
149397,1 ,1,19,32,9.809,-1.825,0.0,0.0,0.0,0.0,1,1
149415,1 ,1,41,69,19.68,3.0,0.0,0.0,0.0,0.0,1,1
149449,1 ,1,43,71,13.0,0.0,0.0,0.0,0.0,0.0,1,1
149481,1 ,1,18,21,6.0,0.30000000000000004,0.0,0.0,0.0,0.0,1,1
149515,1 ,1,39,62,10.0,1.5,0.0,0.0,0.0,0.0,1,1
149550,1 ,1,18,21,3.2,1.0,0.0,0.0,0.0,0.0,1,1
149672,1 ,1,14,19,6.4,-0.3,0.0,0.0,0.0,0.0,1,1
149773,1 ,1,37,60,16.99,1.02,0.0,0.0,0.0,0.0,1,1
149847,1 ,1,19,32,4.3,1.195,0.0,0.0,0.0,0.0,1,1
150068,1 ,1,39,62,0.99,0.32,0.0,0.0,0.0,0.0,1,1
