I,NAME,BASKV,IDE,AREA,ZONE,OWNER,VM,VA,NVHI,NVLO,EVHI,EVLO
55318,T7LA24 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55320,ETHEL_ 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55322,T7LA13 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55326,KENNWI 1,115.0,1,31,47,1,1.0,0.0,1.1,0.9,1.1,0.9
55331,BIG BE 1,69.0,1,36,63,1,1.0,0.0,1.1,0.9,1.1,0.9
55332,GRND_C 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55333,AQ     1,69.0,1,18,21,1,1.0,0.0,1.1,0.9,1.1,0.9
55336,HIGH_P 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55337,INT   10,19.5,2,49,88,1,1.0,0.0,1.1,0.9,1.1,0.9
55340,NAMAKA 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55344,BONNYV 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55348,WHITFI 1,240.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55350,WHITBY 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55354,SARATO 2,138.0,1,39,62,1,1.0,0.0,1.1,0.9,1.1,0.9
55355,GRASMO 1,12.47,1,19,32,1,1.0,0.0,1.1,0.9,1.1,0.9
55357,VILNA  1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55361,WATTLA 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55364,CARVEL 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55366,VISCOU 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55367,VEGREV 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55372,SNT_PA 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55373,LINDEN 3,230.0,1,31,53,1,1.0,0.0,1.1,0.9,1.1,0.9
55377,IRISH_ 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55383,VERMIL 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55387,KITSCO 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55390,TDALES 7,13.8,2,31,46,1,1.0,0.0,1.1,0.9,1.1,0.9
55393,HILL$  1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55394,STILLW 2,60.0,2,36,79,1,1.0,0.0,1.1,0.9,1.1,0.9
55395,COLVIL 1,115.0,1,31,46,1,1.0,0.0,1.1,0.9,1.1,0.9
55402,SALT_C 1,240.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55403,PAINTR 1,240.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55405,SALT_C 2,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55409,QUIGLE 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55411,WADDEL 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55413,PAT$   3,13.8,2,42,70,1,1.0,0.0,1.1,0.9,1.1,0.9
55414,VENTUR 2,12.47,1,19,32,1,1.0,0.0,1.1,0.9,1.1,0.9
55415,JEFFRS 1,115.0,1,40,68,1,1.0,0.0,1.1,0.9,1.1,0.9
55418,TAP_WD 1,69.0,1,19,32,1,1.0,0.0,1.1,0.9,1.1,0.9
55421,COYO_L 2,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55422,NEVIS$ 2,240.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55423,NEVIS$ 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55424,NEVIS$ 3,69.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55431,TINCHE 1,240.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55432,SNO_KI 3,115.0,1,31,46,1,1.0,0.0,1.1,0.9,1.1,0.9
55433,THREE_ 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55435,HALKIR 3,240.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55444,LINDBE 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55446,LAJ    1,66.0,1,16,31,1,1.0,0.0,1.1,0.9,1.1,0.9
55449,MICHIC 2,69.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55453,KSP_TA 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55454,BINDLO 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55455,LLOYD  1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55459,EXCLAE 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55462,YEO    1,240.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55463,BULPOU 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55469,BATTLE 6,240.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55471,MONITO 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55473,MCNEIL 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55474,OYEN   1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55477,HDHL   1,138.0,2,35,42,1,1.0,0.0,1.1,0.9,1.1,0.9
55481,SHEERN 1,240.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55482,TOPAZ$ 3,138.0,1,39,62,1,1.0,0.0,1.1,0.9,1.1,0.9
55483,KIRBY  1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55484,ANDERS 2,240.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55485,ANDERS 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55486,SHEERN 3,240.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55487,SHEERN 2,19.0,2,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55489,BATTLE 4,240.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55490,JARROW 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55491,BATTLE 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55495,BATTLE 5,16.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55496,BATTLE 2,16.0,2,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55497,BATTLE 3,21.0,2,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55499,CORDEL 1,240.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55507,FAR_Su 2,34.5,1,49,88,1,1.0,0.0,1.1,0.9,1.1,0.9
55508,KLC_FN 2,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55509,KLC_FN 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55511,HAY_BA 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55516,CLOVR_ 4,13.8,2,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55522,NINECN 6,0.69,2,31,47,1,1.0,0.0,1.1,0.9,1.1,0.9
55544,ST_JOH 2,115.0,1,31,46,1,1.0,0.0,1.1,0.9,1.1,0.9
55546,LAU    1,115.0,1,32,40,1,1.0,0.0,1.1,0.9,1.1,0.9
55547,ENMX54 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55551,HOKAM  2,12.47,1,19,32,1,1.0,0.0,1.1,0.9,1.1,0.9
55556,ENMX34 2,13.8,2,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55568,E_KELS 1,115.0,1,31,49,1,1.0,0.0,1.1,0.9,1.1,0.9
55569,ENMX3  1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55574,NILREM 2,240.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55584,LYN_BC 3,230.0,1,16,31,1,1.0,0.0,1.1,0.9,1.1,0.9
55599,PORT_M 1,115.0,1,31,58,1,1.0,0.0,1.1,0.9,1.1,0.9
55601,THICKW 2,500.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55602,GHOST_ 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
