I,J,K,CKT,CW,CZ,CM,MAG1,MAG2,NMETR,NAME,STAT,O1,F1,O2,F2,O3,F3,O4,F4,VECGRP,R1_2,X1_2,SBASE1_2,R2_3,X2_3,SBASE2_3,R3_1,X3_1,SBASE3_1,VMSTAR,ANSTAR,WINDV1,NOMV1,ANG1,RATA1,RATB1,RATC1,COD1,CONT1,RMA1,RMI1,VMA1,VMI1,NTP1,TAB1,CR1,CX1,CNXA1,WINDV2,NOMV2,ANG2,RATA2,RATB2,RATC2,COD2,CONT2,RMA2,RMI2,VMA2,VMI2,NTP2,TAB2,CR2,CX2,CNXA2,WINDV3,NOMV3,ANG3,RATA3,RATB3,RATC3,COD3,CONT3,RMA3,RMI3,VMA3,VMI3,NTP3,TAB3,CR3,CX3,CNXA3
54137,181031,0,1 ,1,1,1,0.0,0.0,2,            ,1,1,1.0,0,0.0,0,0.0,0,0.0,            ,0.00048,0.03443,100.0,0.0,0.0,100.0,0.0,0.0,100.0,1.0,0.0,1.0,0.0,0.0,425.87,425.87,9999.0,0,0,1.1,0.9,1.1,0.9,33,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.1,0.9,1.1,0.9,33,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.1,0.9,1.1,0.9,33,0,0.0,0.0,0
54167,54692,0,1 ,1,1,1,0.0,0.0,2,            ,1,1,1.0,0,0.0,0,0.0,0,0.0,            ,0.001362,0.07262,100.0,0.0,0.0,100.0,0.0,0.0,100.0,1.0,0.0,0.958333,0.0,0.0,9505.05,9505.05,9999.0,0,0,1.1,0.9,1.1,0.9,33,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.1,0.9,1.1,0.9,33,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.1,0.9,1.1,0.9,33,0,0.0,0.0,0
54167,54692,0,1 ,1,1,1,0.0,0.0,2,            ,1,1,1.0,0,0.0,0,0.0,0,0.0,            ,0.001362,0.071485,100.0,0.0,0.0,100.0,0.0,0.0,100.0,1.0,0.0,0.958333,0.0,0.0,190.12,190.12,9999.0,0,0,1.1,0.9,1.1,0.9,33,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.1,0.9,1.1,0.9,33,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.1,0.9,1.1,0.9,33,0,0.0,0.0,0
54167,54692,0,1 ,1,1,1,0.0,0.0,2,            ,1,1,1.0,0,0.0,0,0.0,0,0.0,            ,0.001929,0.071485,100.0,0.0,0.0,100.0,0.0,0.0,100.0,1.0,0.0,0.958333,0.0,0.0,190.12,190.12,9999.0,0,0,1.1,0.9,1.1,0.9,33,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.1,0.9,1.1,0.9,33,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.1,0.9,1.1,0.9,33,0,0.0,0.0,0
98532,98530,0,1 ,1,1,1,0.0,0.0,2,            ,1,1,1.0,0,0.0,0,0.0,0,0.0,            ,0.003291,0.157268,100.0,0.0,0.0,100.0,0.0,0.0,100.0,1.0,0.0,1.0,0.0,0.0,9505.05,9505.05,9999.0,0,0,1.1,0.9,1.1,0.9,33,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.1,0.9,1.1,0.9,33,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.1,0.9,1.1,0.9,33,0,0.0,0.0,0
98532,98531,0,1 ,1,1,1,0.0,0.0,2,            ,1,1,1.0,0,0.0,0,0.0,0,0.0,            ,0.003291,0.157268,100.0,0.0,0.0,100.0,0.0,0.0,100.0,1.0,0.0,1.0,0.0,0.0,9505.05,9505.05,9999.0,0,0,1.1,0.9,1.1,0.9,33,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.1,0.9,1.1,0.9,33,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.1,0.9,1.1,0.9,33,0,0.0,0.0,0
55422,55423,0,1 ,1,1,1,0.0,0.0,2,            ,1,1,1.0,0,0.0,0,0.0,0,0.0,            ,0.00259,0.060403,100.0,0.0,0.0,100.0,0.0,0.0,100.0,1.0,0.0,1.0,0.0,0.0,95.06,95.06,9999.0,0,0,1.1,0.9,1.1,0.9,33,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.1,0.9,1.1,0.9,33,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.1,0.9,1.1,0.9,33,0,0.0,0.0,0
55423,55424,0,1 ,1,1,1,0.0,0.0,2,            ,1,1,1.0,0,0.0,0,0.0,0,0.0,            ,0.0123,0.05847,100.0,0.0,0.0,100.0,0.0,0.0,100.0,1.0,0.0,1.0,0.0,0.0,31.37,31.37,9999.0,0,0,1.1,0.9,1.1,0.9,33,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.1,0.9,1.1,0.9,33,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.1,0.9,1.1,0.9,33,0,0.0,0.0,0
55012,98681,0,1 ,1,1,1,0.0,0.0,2,            ,1,1,1.0,0,0.0,0,0.0,0,0.0,            ,0.000295,0.014298,100.0,0.0,0.0,100.0,0.0,0.0,100.0,1.0,0.0,0.861939,0.0,0.0,1901.2,1901.2,9999.0,0,0,1.1,0.9,1.1,0.9,33,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.1,0.9,1.1,0.9,33,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.1,0.9,1.1,0.9,33,0,0.0,0.0,0
55574,57574,0,1 ,1,1,1,0.0,0.0,2,            ,1,1,1.0,0,0.0,0,0.0,0,0.0,            ,0.000408,0.04061,100.0,0.0,0.0,100.0,0.0,0.0,100.0,1.0,0.0,0.958333,0.0,0.0,324.92,389.84,9999.0,0,0,1.1,0.9,1.1,0.9,33,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.1,0.9,1.1,0.9,33,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1.1,0.9,1.1,0.9,33,0,0.0,0.0,0
