I,ID,STATUS,GL,BL
174783,1 ,1,0.0,15.0
174784,1 ,1,0.0,-10.0
174785,1 ,1,0.0,1.28
174786,1 ,1,0.0,27.5
174787,1 ,1,0.0,27.5
174788,1 ,1,0.0,19.8
174789,1 ,1,0.0,13.2
174790,1 ,1,0.0,9.1
174791,1 ,1,0.0,10.9
174792,1 ,1,0.0,10.9
174793,1 ,1,0.0,27.5
174794,1 ,1,0.0,27.5
174795,1 ,1,0.0,-19.84
174796,1 ,1,0.0,13.78
174797,1 ,1,0.0,-20.0
174798,1 ,1,0.0,27.54
174799,1 ,1,0.0,27.54
174800,1 ,1,0.0,27.54
174801,1 ,1,0.0,-20.0
174802,1 ,1,0.0,10.0
174803,1 ,1,0.0,54.0
174804,1 ,1,0.0,54.0
174805,1 ,1,0.0,5.0
174806,1 ,1,0.0,5.0
174807,1 ,1,0.0,5.0
174808,1 ,1,0.0,27.55
174809,1 ,1,0.0,27.55
174810,1 ,1,0.0,-20.0
174811,1 ,1,0.0,-20.0
174812,1 ,1,0.0,-27.25
174813,1 ,1,0.0,-27.25
174814,1 ,1,0.0,-25.0
174815,1 ,1,0.0,-25.0
174817,1 ,1,0.0,27.2
174818,1 ,1,0.0,27.2
174819,1 ,1,0.0,27.2
174820,1 ,1,0.0,20.0
174821,1 ,1,0.0,-20.0
174822,1 ,1,0.0,-20.0
174823,1 ,1,0.0,52.8
174824,1 ,1,0.0,-10.0
174825,1 ,1,0.0,-20.0
174826,1 ,1,0.0,7.5
174827,1 ,1,0.0,7.5
174828,1 ,1,0.0,24.45
174829,1 ,1,0.0,1.88
174830,1 ,1,0.0,1.88
174831,1 ,1,0.0,-20.0
174832,1 ,1,0.0,-20.0
174833,1 ,1,0.0,-20.0
174834,1 ,1,0.0,-20.0
174835,1 ,1,0.0,27.0
174836,1 ,1,0.0,27.0
174837,1 ,1,0.0,7.2
174838,1 ,1,0.0,7.2
174839,1 ,1,0.0,9.0
174840,1 ,1,0.0,10.02
174841,1 ,1,0.0,-15.0
174842,1 ,1,0.0,-15.0
174843,1 ,1,0.0,-20.0
174844,1 ,1,0.0,-30.0
174845,1 ,1,0.0,-30.0
174846,1 ,1,0.0,20.0
174847,1 ,1,0.0,-20.0
174848,1 ,1,0.0,-30.0
174849,1 ,1,0.0,-20.0
174850,1 ,1,0.0,6.3
