I,ID,PG,QG,QT,QB,VS,IREG,MBASE,ZR,ZX,RT,XT,GTAP,STAT,RMPCT,PT,PB,O1,F1,O2,F2,O3,F3,O4,F4,WMOD,WPF
35276,1 ,150.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,999.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
127186,1 ,150.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,999.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
102613,1 ,150.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,999.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
111307,1 ,0.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,220.0,-220.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
107748,1 ,13.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,26.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
107748,2 ,15.6,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,31.2,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
107748,3 ,13.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,26.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
107748,4 ,13.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,26.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
107748,5 ,7.8,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,15.6,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
44510,1 ,15.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,30.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
44510,2 ,12.5,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,25.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
44510,3 ,12.5,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,25.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
